,LongName,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,valence_bucket,x,y,name_shorten
34,Nevermind,Dennis Lloyd,0.592,0.691,3,-8.354,1,0.196,0.156,9.78E-06,0.418,0.0796,99.976,156600,4,Nevermind,1,-2.682346682,3.23626733,Nevermind
35,?chame La Culpa,Luis Fonsi,0.726,0.889,0,-3.655,1,0.0429,0.0328,0,0.0925,0.649,96.024,173720,4,Echame La Culpa,4,0.683412098,0.90063699,Échame La Culpa
36,Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,4,Eastside,2,5.193618057,5.755158391,Eastside
37,Never Be the Same,Camila Cabello,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,226973,4,Never Be the Same,2,-5.651963358,1.764227085,Never Be the Same
38,Wolves,Selena Gomez,0.72,0.807,11,-4.59,0,0.0432,0.129,0,0.183,0.305,124.946,197993,4,Wolves,2,6.444210872,-3.743940862,Wolves
39,changes,XXXTENTACION,0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,121887,4,    Changes,3,-9.8009016,-3.147345821,changes
40,In My Mind,Dynoro,0.694,0.77,6,-5.335,1,0.149,0.176,1.10E-05,0.118,0.163,125.905,184560,4,In My Mind,1,-5.971109778,0.483421957,In My Mind
41,River (feat. Ed Sheeran),Eminem,0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,221013,4,River,4,7.909317219,4.733815138,River
42,Dura,Daddy Yankee,0.791,0.848,1,-3.456,1,0.0506,0.183,0,0.409,0.828,95,200480,4,Dura,5,1.137087141,-0.748280273,Dura
43,SICKO MODE,Travis Scott,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4,SICKO MODE,3,-5.887048227,6.244772584,SICKO MODE
44,Thunder,Imagine Dragons,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4,Thunder,2,-8.002915633,2.444253726,Thunder
45,Me Niego,Reik,0.777,0.779,0,-4.449,0,0.0972,0.0543,0,0.636,0.768,94.023,221653,4,Me Niego,4,9.639910355,-5.055992391,Me Niego
46,Jackie Chan,Ti?sto,0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,215760,4,Jackie Chan,4,6.69533122,0.906077458,Jackie Chan
47,Finesse (Remix) [feat. Cardi B],Bruno Mars,0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,217289,4,Finesse,5,5.913654053,0.052073528,Finesse
48,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68E-06,0.12,0.508,102.061,207905,4,Back To You,3,-2.393534474,-0.655206109,Back To You
49,Let You Down,NF,0.656,0.721,5,-5.665,0,0.122,0.298,0,0.173,0.468,148.066,212120,4,Let You Down,3,4.054036709,-4.868458111,Let You Down
50,Call Out My Name,The Weeknd,0.489,0.598,1,-4.929,1,0.036,0.218,0,0.35,0.172,134.045,228373,3,Call Out My Name,1,-3.939251122,1.772777064,Call Out My Name
51,Ric Flair Drip (& Metro Boomin),Offset,0.88,0.428,9,-8.28,1,0.206,0.149,5.07E-05,0.114,0.333,100.007,172800,4,Ric Flair Drip,2,-1.082594043,5.796459667,Ric Flair Drip
52,Happier,Marshmello,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4,Happier,4,-0.88601346,-0.265040842,Happier
53,Too Good At Goodbyes,Sam Smith,0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,201000,4,Too Good At Goodbyes,3,1.229594094,5.930849445,Too Good At Goodbyes
54,Freaky Friday (feat. Chris Brown),Lil Dicky,0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,216632,4,Freaky Friday,4,-2.83304319,-2.909528061,Freaky Friday
55,Believer,Imagine Dragons,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347,4,Believer,4,5.919835244,-2.141490831,Believer
